10. 16 (토),대한항공,3,:,1,우리카드
10. 16 (토),GS칼텍스,3,:,0,흥국생명
10. 17 (일),현대캐피탈,3,:,1,OK금융그룹
10. 17 (일),현대건설,3,:,1,IBK기업은행
10. 19 (화),삼성화재,0,:,3,한국전력
10. 19 (화),페퍼저축은행,1,:,3,KGC인삼공사
10. 20 (수),KB손해보험,3,:,2,현대캐피탈
10. 20 (수),한국도로공사,0,:,3,현대건설
10. 21 (목),OK금융그룹,3,:,2,우리카드
10. 21 (목),IBK기업은행,1,:,3,흥국생명
10. 22 (금),삼성화재,3,:,0,대한항공
10. 22 (금),페퍼저축은행,0,:,3,GS칼텍스
10. 23 (토),한국전력,3,:,1,KB손해보험
10. 23 (토),KGC인삼공사,3,:,0,한국도로공사
10. 24 (일),우리카드,1,:,3,현대캐피탈
10. 24 (일),현대건설,3,:,1,흥국생명
10. 26 (화),OK금융그룹,3,:,1,KB손해보험
10. 26 (화),IBK기업은행,1,:,3,한국도로공사
10. 27 (수),현대캐피탈,3,:,2,대한항공
10. 27 (수),GS칼텍스,1,:,3,현대건설
10. 28 (목),우리카드,3,:,0,한국전력
10. 28 (목),KGC인삼공사,3,:,1,흥국생명
10. 29 (금),KB손해보험,2,:,3,삼성화재
10. 29 (금),한국도로공사,3,:,0,페퍼저축은행
10. 30 (토),대한항공,3,:,0,OK금융그룹
10. 30 (토),GS칼텍스,3,:,1,IBK기업은행
10. 31 (일),한국전력,3,:,0,현대캐피탈
10. 31 (일),KGC인삼공사,0,:,3,현대건설
